Build started: 2026-04-13 14:51:08 UTC
geoip.dat size: 38665612 bytes
Text files: 267
---
  tag=AE                   inserted=6184 skipped=0
  tag=AF                   inserted=910 skipped=0
  tag=AG                   inserted=334 skipped=0
  tag=AI                   inserted=210 skipped=0
  tag=AL                   inserted=2285 skipped=0
  tag=AM                   inserted=874 skipped=0
  tag=AO                   inserted=580 skipped=0
  tag=AQ                   inserted=837 skipped=0
  tag=AR                   inserted=6674 skipped=0
  tag=AS                   inserted=488 skipped=0
  tag=AT                   inserted=9272 skipped=0
  tag=AU                   inserted=116184 skipped=0
  tag=AW                   inserted=191 skipped=0
  tag=AX                   inserted=209 skipped=0
  tag=AZ                   inserted=847 skipped=0
  tag=BA                   inserted=550 skipped=0
  tag=BB                   inserted=342 skipped=0
  tag=BD                   inserted=5139 skipped=0
  tag=BE                   inserted=81980 skipped=0
  tag=BF                   inserted=294 skipped=0
  tag=BG                   inserted=3696 skipped=0
  tag=BH                   inserted=561 skipped=0
  tag=BI                   inserted=176 skipped=0
  tag=BJ                   inserted=220 skipped=0
  tag=BL                   inserted=142 skipped=0
  tag=BM                   inserted=312 skipped=0
  tag=BN                   inserted=260 skipped=0
  tag=BO                   inserted=661 skipped=0
  tag=BQ                   inserted=125 skipped=0
  tag=BR                   inserted=26271 skipped=0
  tag=BS                   inserted=352 skipped=0
  tag=BT                   inserted=291 skipped=0
  tag=BV                   inserted=56 skipped=0
  tag=BW                   inserted=289 skipped=0
  tag=BY                   inserted=767 skipped=0
  tag=BZ                   inserted=471 skipped=0
  tag=CA                   inserted=56636 skipped=0
  tag=CC                   inserted=70 skipped=0
  tag=CD                   inserted=462 skipped=0
  tag=CF                   inserted=165 skipped=0
  tag=CG                   inserted=224 skipped=0
  tag=CH                   inserted=56934 skipped=0
  tag=CI                   inserted=567 skipped=0
  tag=CK                   inserted=141 skipped=0
  tag=CL                   inserted=11238 skipped=0
  tag=CM                   inserted=376 skipped=0
  tag=CO                   inserted=6222 skipped=0
  tag=CR                   inserted=1119 skipped=0
